Notes,Vehicle,Master Cust Num,Master Cust Name,Cust Num,Cust Name,Customer Vehicle ID**,Maint Cost Code,Driver Last**,Driver First**,VIN,Year,Make,Model,Series,License State,License Num,License Exp. Date,Delivery Date,Fleet Vehicle Status,Fleet Vehicle Status Description,Lease Type,Lease Term,Months In Service*,Lease End Date,Contract Mileage,Delivered Price,Dep Pct,Dep Amt/Mo,Total Lease Charge/Mo,Use Tax Amt/Mo,Full Maint Rate/Mo,Total Rent/Mo,License and Tax*,Service Charge,Current RBV*,Calculated Mileage,Calculated Mileage Date,Entered Mileage**,Entered Mileage Date**,Estimated Current Odometer,Garage Street Address 1,Garage City,Garage State ,Garage County Name,Garage Postal Code,Garage Country,Pooled Vehicle**
,27L014,999999,PDI Fleet,999999,PDI Fleet,VA014,VA014,,,VINLIVE00000000014,2024,Subaru,Impreza,,VA,PLT0014,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L015,999999,PDI Fleet,999999,PDI Fleet,VA015,VA015,,,VINLIVE00000000015,2024,Subaru,Impreza,,VA,PLT0015,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L016,999999,PDI Fleet,999999,PDI Fleet,VA016,VA016,,,VINLIVE00000000016,2024,Subaru,Impreza,,VA,PLT0016,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L017,999999,PDI Fleet,999999,PDI Fleet,VA017,VA017,,,VINLIVE00000000017,2024,Subaru,Impreza,,VA,PLT0017,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L018,999999,PDI Fleet,999999,PDI Fleet,VA018,VA018,,,VINLIVE00000000018,2024,Subaru,Impreza,,VA,PLT0018,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L019,999999,PDI Fleet,999999,PDI Fleet,VA019,VA019,,,VINLIVE00000000019,2024,Subaru,Impreza,,VA,PLT0019,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L020,999999,PDI Fleet,999999,PDI Fleet,VA020,VA020,,,VINLIVE00000000020,2024,Subaru,Impreza,,VA,PLT0020,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L021,999999,PDI Fleet,999999,PDI Fleet,VA021,VA021,,,VINLIVE00000000021,2024,Subaru,Impreza,,VA,PLT0021,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L022,999999,PDI Fleet,999999,PDI Fleet,VA022,VA022,,,VINLIVE00000000022,2024,Subaru,Impreza,,VA,PLT0022,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L023,999999,PDI Fleet,999999,PDI Fleet,VA023,VA023,,,VINLIVE00000000023,2024,Subaru,Impreza,,VA,PLT0023,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L024,999999,PDI Fleet,999999,PDI Fleet,VA024,VA024,,,VINLIVE00000000024,2024,Subaru,Impreza,,VA,PLT0024,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L025,999999,PDI Fleet,999999,PDI Fleet,VA025,VA025,,,VINLIVE00000000025,2024,Subaru,Impreza,,VA,PLT0025,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L026,999999,PDI Fleet,999999,PDI Fleet,VA026,VA026,,,VINLIVE00000000026,2024,Subaru,Impreza,,VA,PLT0026,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L027,999999,PDI Fleet,999999,PDI Fleet,VA027,VA027,,,VINLIVE00000000027,2024,Subaru,Impreza,,VA,PLT0027,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L028,999999,PDI Fleet,999999,PDI Fleet,VA028,VA028,,,VINLIVE00000000028,2024,Subaru,Impreza,,VA,PLT0028,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L029,999999,PDI Fleet,999999,PDI Fleet,VA029,VA029,,,VINLIVE00000000029,2024,Subaru,Impreza,,VA,PLT0029,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L030,999999,PDI Fleet,999999,PDI Fleet,VA030,VA030,,,VINLIVE00000000030,2024,Subaru,Impreza,,VA,PLT0030,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L031,999999,PDI Fleet,999999,PDI Fleet,VA031,VA031,,,VINLIVE00000000031,2024,Subaru,Impreza,,VA,PLT0031,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L032,999999,PDI Fleet,999999,PDI Fleet,VA032,VA032,,,VINLIVE00000000032,2024,Subaru,Impreza,,VA,PLT0032,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L033,999999,PDI Fleet,999999,PDI Fleet,VA033,VA033,,,VINLIVE00000000033,2024,Subaru,Impreza,,VA,PLT0033,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L034,999999,PDI Fleet,999999,PDI Fleet,VA034,VA034,,,VINLIVE00000000034,2024,Subaru,Impreza,,VA,PLT0034,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L035,999999,PDI Fleet,999999,PDI Fleet,VA035,VA035,,,VINLIVE00000000035,2024,Subaru,Impreza,,VA,PLT0035,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L036,999999,PDI Fleet,999999,PDI Fleet,VA036,VA036,,,VINLIVE00000000036,2024,Subaru,Impreza,,VA,PLT0036,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L037,999999,PDI Fleet,999999,PDI Fleet,VA037,VA037,,,VINLIVE00000000037,2024,Subaru,Impreza,,VA,PLT0037,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L038,999999,PDI Fleet,999999,PDI Fleet,VA038,VA038,,,VINLIVE00000000038,2024,Subaru,Impreza,,VA,PLT0038,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L039,999999,PDI Fleet,999999,PDI Fleet,VA039,VA039,,,VINLIVE00000000039,2024,Subaru,Impreza,,VA,PLT0039,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L040,999999,PDI Fleet,999999,PDI Fleet,VA040,VA040,,,VINLIVE00000000040,2024,Subaru,Impreza,,VA,PLT0040,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L041,999999,PDI Fleet,999999,PDI Fleet,VA041,VA041,,,VINLIVE00000000041,2024,Subaru,Impreza,,VA,PLT0041,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L042,999999,PDI Fleet,999999,PDI Fleet,VA042,VA042,,,VINLIVE00000000042,2024,Subaru,Impreza,,VA,PLT0042,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L043,999999,PDI Fleet,999999,PDI Fleet,VA043,VA043,,,VINLIVE00000000043,2024,Subaru,Impreza,,VA,PLT0043,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L044,999999,PDI Fleet,999999,PDI Fleet,VA044,VA044,,,VINLIVE00000000044,2024,Subaru,Impreza,,VA,PLT0044,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L045,999999,PDI Fleet,999999,PDI Fleet,VA045,VA045,,,VINLIVE00000000045,2024,Subaru,Impreza,,VA,PLT0045,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L046,999999,PDI Fleet,999999,PDI Fleet,VA046,VA046,,,VINLIVE00000000046,2024,Subaru,Impreza,,VA,PLT0046,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L047,999999,PDI Fleet,999999,PDI Fleet,VA047,VA047,,,VINLIVE00000000047,2024,Subaru,Impreza,,VA,PLT0047,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L048,999999,PDI Fleet,999999,PDI Fleet,VA048,VA048,,,VINLIVE00000000048,2024,Subaru,Impreza,,VA,PLT0048,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L049,999999,PDI Fleet,999999,PDI Fleet,VA049,VA049,,,VINLIVE00000000049,2024,Subaru,Impreza,,VA,PLT0049,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L050,999999,PDI Fleet,999999,PDI Fleet,VA050,VA050,,,VINLIVE00000000050,2024,Subaru,Impreza,,VA,PLT0050,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L051,999999,PDI Fleet,999999,PDI Fleet,VA051,VA051,,,VINLIVE00000000051,2024,Subaru,Impreza,,VA,PLT0051,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L052,999999,PDI Fleet,999999,PDI Fleet,VA052,VA052,,,VINLIVE00000000052,2024,Subaru,Impreza,,VA,PLT0052,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L053,999999,PDI Fleet,999999,PDI Fleet,VA053,VA053,,,VINLIVE00000000053,2024,Subaru,Impreza,,VA,PLT0053,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L054,999999,PDI Fleet,999999,PDI Fleet,VA054,VA054,,,VINLIVE00000000054,2024,Subaru,Impreza,,VA,PLT0054,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L055,999999,PDI Fleet,999999,PDI Fleet,VA055,VA055,,,VINLIVE00000000055,2024,Subaru,Impreza,,VA,PLT0055,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L056,999999,PDI Fleet,999999,PDI Fleet,VA056,VA056,,,VINLIVE00000000056,2024,Subaru,Impreza,,VA,PLT0056,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L057,999999,PDI Fleet,999999,PDI Fleet,VA057,VA057,,,VINLIVE00000000057,2024,Subaru,Impreza,,VA,PLT0057,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L058,999999,PDI Fleet,999999,PDI Fleet,VA058,VA058,,,VINLIVE00000000058,2024,Subaru,Impreza,,VA,PLT0058,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L059,999999,PDI Fleet,999999,PDI Fleet,VA059,VA059,,,VINLIVE00000000059,2024,Subaru,Impreza,,VA,PLT0059,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L060,999999,PDI Fleet,999999,PDI Fleet,VA060,VA060,,,VINLIVE00000000060,2024,Subaru,Impreza,,VA,PLT0060,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L061,999999,PDI Fleet,999999,PDI Fleet,VA061,VA061,,,VINLIVE00000000061,2024,Subaru,Impreza,,VA,PLT0061,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L062,999999,PDI Fleet,999999,PDI Fleet,VA062,VA062,,,VINLIVE00000000062,2024,Subaru,Impreza,,VA,PLT0062,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L063,999999,PDI Fleet,999999,PDI Fleet,VA063,VA063,,,VINLIVE00000000063,2024,Subaru,Impreza,,VA,PLT0063,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L064,999999,PDI Fleet,999999,PDI Fleet,VA064,VA064,,,VINLIVE00000000064,2024,Subaru,Impreza,,VA,PLT0064,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L065,999999,PDI Fleet,999999,PDI Fleet,VA065,VA065,,,VINLIVE00000000065,2024,Subaru,Impreza,,VA,PLT0065,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L066,999999,PDI Fleet,999999,PDI Fleet,VA066,VA066,,,VINLIVE00000000066,2024,Subaru,Impreza,,VA,PLT0066,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L067,999999,PDI Fleet,999999,PDI Fleet,VA067,VA067,,,VINLIVE00000000067,2024,Subaru,Impreza,,VA,PLT0067,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L068,999999,PDI Fleet,999999,PDI Fleet,VA068,VA068,,,VINLIVE00000000068,2024,Subaru,Impreza,,VA,PLT0068,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L069,999999,PDI Fleet,999999,PDI Fleet,VA069,VA069,,,VINLIVE00000000069,2024,Subaru,Impreza,,VA,PLT0069,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L070,999999,PDI Fleet,999999,PDI Fleet,VA070,VA070,,,VINLIVE00000000070,2024,Subaru,Impreza,,VA,PLT0070,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L071,999999,PDI Fleet,999999,PDI Fleet,VA071,VA071,,,VINLIVE00000000071,2024,Subaru,Impreza,,VA,PLT0071,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L072,999999,PDI Fleet,999999,PDI Fleet,VA072,VA072,,,VINLIVE00000000072,2024,Subaru,Impreza,,VA,PLT0072,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L073,999999,PDI Fleet,999999,PDI Fleet,VA073,VA073,,,VINLIVE00000000073,2024,Subaru,Impreza,,VA,PLT0073,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L074,999999,PDI Fleet,999999,PDI Fleet,VA074,VA074,,,VINLIVE00000000074,2024,Subaru,Impreza,,VA,PLT0074,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L075,999999,PDI Fleet,999999,PDI Fleet,VA075,VA075,,,VINLIVE00000000075,2024,Subaru,Impreza,,VA,PLT0075,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L076,999999,PDI Fleet,999999,PDI Fleet,VA076,VA076,,,VINLIVE00000000076,2024,Subaru,Impreza,,VA,PLT0076,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L077,999999,PDI Fleet,999999,PDI Fleet,VA077,VA077,,,VINLIVE00000000077,2024,Subaru,Impreza,,VA,PLT0077,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L078,999999,PDI Fleet,999999,PDI Fleet,VA078,VA078,,,VINLIVE00000000078,2024,Subaru,Impreza,,VA,PLT0078,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L079,999999,PDI Fleet,999999,PDI Fleet,VA079,VA079,,,VINLIVE00000000079,2024,Subaru,Impreza,,VA,PLT0079,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L080,999999,PDI Fleet,999999,PDI Fleet,VA080,VA080,,,VINLIVE00000000080,2024,Subaru,Impreza,,VA,PLT0080,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L081,999999,PDI Fleet,999999,PDI Fleet,VA081,VA081,,,VINLIVE00000000081,2024,Subaru,Impreza,,VA,PLT0081,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L082,999999,PDI Fleet,999999,PDI Fleet,VA082,VA082,,,VINLIVE00000000082,2024,Subaru,Impreza,,VA,PLT0082,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
